171115-1a,Ramp ..,Resting.discharge,DP,IST,FST,DI,50hz frequency,100hz frequency
,,,,,,,,
,for macro #:,1,,,,,,
,1,19.68415098,31.00775146,19.66305351,16.23920476,11.34469795,25.02533082,0
,2,13.71023158,30.16591263,19.92601681,16.78736348,10.23989582,0,0
,3,13.13725493,29.49852562,19.49954033,16.7273852,9.99898529,0,0
,4,14.91069089,29.9401207,20.14111481,16.01161802,9.79900589,0,0
,5,12.51682923,31.74603081,19.94621964,15.56583527,11.79981117,0,0
,0,13.60906984,29.9401207,17.17481542,16.61108377,12.76530528,0,0
,,,,,,,,
,for macro #:,2,,,,,,
,1,11.85629514,31.20124817,20.28206301,17.04017427,10.91918516,0,0
,2,11.20926514,28.98550797,19.80582952,16.54386544,9.17967845,0,0
,3,9.669677646,30.62787056,15.80809275,14.54668651,14.81977781,0,0
,4,9.407557293,29.069767,18.9519515,15.80944467,10.1178155,0,0
,5,8.585178245,29.41176414,18.1681118,15.66692412,11.24365234,0,0
,0,9.885950769,29.85074615,18.4397397,15.80061972,11.41100645,0,0
,,,,,,,,
,for macro #:,3,,,,,,
,1,9.383388175,26.95417786,18.9571929,15.3118962,7.99698496,0,0
,2,8.409888479,30.53435135,18.90713882,15.41135848,11.62721253,0,0
,3,13.99098483,27.77777863,18.58991909,15.78476918,9.18785954,0,0
,4,9.222210508,29.98500824,18.89160347,16.18103373,11.09340477,0,0
,5,9.445546703,29.62962914,19.81740141,16.59606147,9.81222773,0,0
,0,15.80912504,32,20.97892914,17.64143817,11.02107086,0,0
,,,,,,,,
,for macro #:,4,,,,,,
,1,13.48917415,34.36426163,22.59606323,19.72282391,11.7681984,0,0
,2,17.32234278,33.72681427,22.28814189,19.1823288,11.43867238,0,0
,3,13.58270608,34.66204453,22.87175255,19.38576984,11.79029198,0,0
,4,18.35669901,34.72222137,23.3481041,19.4984539,11.37411727,0,0
,5,14.51293386,35.65062332,23.57605019,20.30932903,12.07457313,0,0
,0,15.14036528,36.10108185,24.03259182,19.99425201,12.06849003,0,0
,,,,,,,,
,for macro #:,5,,,,,,
,1,14.00743878,34.01360703,23.17139893,20.07632523,10.8422081,0,0
,2,13.10915799,35.97122192,23.68025894,19.93936138,12.29096298,0,0
,3,14.32408031,35.27336884,23.94767113,20.24239655,11.32569771,0,0
,4,13.23155878,37.24394608,24.24380722,20.52109108,13.00013886,0,0
,5,16.64567489,37.59398651,24.48982887,20.73091559,13.10415764,0,0
,0,15.09097081,36.69724655,24.29682223,20.53759727,12.40042432,0,0
,,,,,,,,
,for macro #:,6,,,,,,
,1,17.16146512,34.66204453,23.39413567,19.75495872,11.26790886,0,0
,2,14.00384287,35.27336884,18.93888283,17.3659153,16.33448601,0,0
,3,19.95297383,34.30531693,22.69734383,18.67603073,11.6079731,0,0
,4,18.4656358,34.07154846,22.32714462,19.04496212,11.74440384,0,0
,5,20.38738353,33.33333206,22.71531792,19.01593759,10.61801414,0,0
,0,21.33041035,34.90401459,22.76256704,19.15802212,12.14144755,0,0
,,,,,,,,
,for macro #:,7,,,,,,
,1,23.97175731,35.33568954,23.41291733,19.92022705,11.92277221,0,0
,2,15.96157845,36.76470566,24.03668404,20.26098595,12.72802162,0,0
,3,22.93681571,36.16636658,23.74925079,20.43290005,12.41711579,0,0
,4,19.2973088,34.66204453,23.73768387,19.86118011,10.92436066,0,0
,5,18.53898893,35.27336884,23.31570473,20.32730449,11.95766411,0,0
,0,17.70809932,38.09523773,24.30461693,20.52327766,13.7906208,0,0
