Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,,
for macro #:,1,,,,,,,,,,
1,5.892499127,399.5172598,27.1844925,7.2861,412.7672598,7.2254,413.2672598,7.25575,16.4873977,,2.4713175
2,5.61736036,603.1042275,24.3065025,7.3468,616.3542275,7.3468,616.8542275,7.3468,15.91893821,,2.62773
3,5.50470067,807.1361307,23.837265,7.3165,820.3861307,7.3165,820.8861307,7.3165,15.71281791,,2.75286
4,5.438416734,1010.711883,22.9926375,7.3165,1023.961883,7.2558,1024.461883,7.28615,15.34339679,,2.6590125
5,5.376135995,1214.389994,22.585965,7.3165,1227.639994,7.3772,1228.139994,7.34685,15.17385812,,2.5964475
0,5.333141193,1418.852899,22.585965,7.3772,1432.052899,7.2861,1432.552899,7.33165,15.08941528,,2.12721
,,,,,,,,,,,
for macro #:,2,,,,,,,,,,
1,5.28949852,1642.596508,22.711095,7.2558,1655.846508,7.3165,1656.346508,7.28615,14.91905073,,1.7831025
2,5.302752373,1847.984231,22.02288,7.2558,1861.234231,7.3165,1861.734231,7.28615,14.72557358,,2.12721
3,5.245579509,2053.301133,21.89775,7.3165,2066.551133,7.3468,2067.051133,7.33165,14.58038383,,1.939515
4,5.236211336,2258.773901,21.9915975,7.2861,2272.023901,7.2861,2272.523901,7.2861,14.54227479,,1.7831025
5,5.200688178,2464.17863,21.5536425,7.3165,2477.37863,7.2861,2477.87863,7.3013,14.40826267,,2.1584925
0,5.196162783,2669.524518,21.3033825,7.2861,2682.724518,7.3165,2683.224518,7.3013,14.32789813,,2.2836225
,,,,,,,,,,,
for macro #:,3,,,,,,,,,,
1,5.141357759,2899.26273,20.9905575,7.3165,2912.46273,7.3468,2912.96273,7.33165,14.2429787,,2.3461875
2,5.126473589,3104.38348,20.959275,7.3468,3117.63348,7.3165,3118.13348,7.33165,14.16415875,,2.25234
3,5.110591176,3309.670386,20.9905575,7.2861,3322.920386,7.3468,3323.420386,7.31645,14.09758388,,1.939515
4,5.108350386,3514.945146,21.39723,7.2861,3528.145146,7.3165,3528.645146,7.3013,14.04641959,,1.4702775
5,5.089071377,3720.407999,21.710055,7.2558,3733.657999,7.3165,3734.157999,7.28615,14.01720172,,1.063605
0,5.070257547,3925.76673,22.335705,7.3165,3938.96673,7.2861,3939.46673,7.3013,13.97652625,,0.9071925
,,,,,,,,,,,
for macro #:,4,,,,,,,,,,
1,5.092919286,4160.76865,21.5536425,7.3165,4173.96865,7.3165,4174.46865,7.3165,13.95549177,,1.62669
2,6.595143807,4366.117478,30.5630025,7.3165,4379.317478,7.3468,4379.817478,7.33165,19.5752812,,2.87799
