Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value,,,,170110-1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Macro 1 Bl,,,,,,,,, ,IN 6: Tension      ,IN 6: Tension      ,SR plateau,
for macro #:,1,,,,,,,,,,,,,,,,,, , , , ,,,,Time,Value,Mean,,
1,5.773173946,5.029725742,28.61440099,17.589,18.22972574,17.4193,18.72972574,17.50415,17.48985117,,2.65378976,,,,,,BL tension,sel start (sec.),"Peak Tension, 0 sec (mN)",3.25 sec into ramp (mN),sel start time (sec.),3.75 sec into ramp (mN),sel end time  beginning ramp (sec.),average (mN) of two points (3.25+3.75)/2,average (mN) all interval points,at Minimum ,mN,mN,,
2,5.905414868,210.5314685,28.57127299,17.7323,223.7814685,17.5253,224.2814685,17.6288,17.62195891,,2.446037702,,,,,Ramp #1,5.773184227,14.77972574,28.6144029,,18.02972574,,18.52972574,#DIV/0!,17.5907,,2.6538,,1.002178893,Macro 1 Ramp #1
3,5.903464792,415.8685841,28.57557663,17.8056,429.1185841,17.6134,429.6185841,17.7095,17.69838491,,2.56702111,,,,,Ramp #2,5.905848379,219.9314685,28.5712749,,223.1814685,,223.6814685,#DIV/0!,17.8923,,2.446,,1.019361674, Ramp #2
4,6.02158477,621.1920964,28.94707922,18.1245,634.4420964,17.9465,634.9420964,18.0355,18.02169371,,2.700585346,,,,,Ramp #3,5.90371371,425.4685841,28.57557663,,428.7185841,,429.2185841,#DIV/0!,17.8765,,2.567,,1.018461515,Ramp #3
5,6.023846857,826.4019765,29.33813911,18.2704,839.6519765,18.1072,840.1519765,18.1888,18.17896214,,2.567882457,,,,,Ramp #4,6.021746041,630.9420964,28.94707922,,634.1920964,,634.6920964,#DIV/0!,15.40603048,,2.7006,,0.877713711, Ramp #4
0,5.94244763,1032.667716,29.13368972,18.0757,1045.867716,17.9092,1046.367716,17.99245,17.97915525,,2.666549112,,,,,Ramp #5,6.024109949,836.0019765,29.33814102,,839.2519765,,839.7519765,#DIV/0!,18.3643,,2.5679,,1.0462525,Ramp #5
,,,,,,,,,,,,,,,,Ramp #6,5.942549583,1042.167716,29.13368972,,1045.417716,,1045.917716,#DIV/0!,18.1849,,2.6665,,1.036031707,Ramp #6
for macro #:,2,,,,,,,,,,,,,,,,,,,,,,,,,,average,17.55245508,,
1,5.829876375,1254.895417,29.19808195,18.1235,1268.145417,17.9254,1268.645417,18.02445,18.00962459,,1.898717581,,,,,,,Macro 2 H2O2,,,,,,,,,,,,
2,5.686668013,1460.253221,28.41787914,17.647,1473.453221,17.4696,1473.953221,17.5583,17.54701725,,2.587547625,,,,,,,,,,,,,,, ,IN 6: Tension      ,IN 6: Tension      ,,
3,5.46385233,1665.716973,27.75046823,17.3088,1678.966973,17.122,1679.466973,17.2154,17.20624505,,1.741414139,,,,,,,,,,,,,,,Time,Value,Mean,,
4,5.28908091,1870.96708,26.94642931,16.7616,1884.21708,16.6005,1884.71708,16.68105,16.67048466,,1.642037929,,,,,,BL tension,sel start (sec.),"Peak Tension, 0 sec (mN)",3.25 sec into ramp (mN),sel start time (sec.),3.75 sec into ramp (mN),sel end time  beginning ramp (sec.),average (mN) of two points (3.25+3.75)/2,average (mN) all interval points,at Minimum ,mN,mN,,
5,5.14932851,2076.410617,26.53799832,16.444,2089.610617,16.299,2090.110617,16.3715,16.36277833,,1.638619269,,,,,Ramp #1,5.830079211,14.68869524,29.19808195,,17.93869524,,18.4386952400,#DIV/0!,18.11141461,,1.898717462,,1.031845091,Macro 2 Ramp #1
0,5.085644241,2281.647498,26.60204305,16.3865,2294.897498,16.2404,2295.397498,16.31345,16.30308687,,1.138098673,,,,,Ramp #2,5.686896438,220.0214993,28.41787724,,223.2714993,,223.7714993000,#DIV/0!,17.64492009,,2.587547864,,1.005267925, Ramp #2
,,,,,,,,,,,,,,,,Ramp #3,5.4638289,425.3352511,27.75046632,,428.5852511,,429.0852511000,#DIV/0!,17.37707431,,1.741414139,,0.990008191,Ramp #3
for macro #:,3,,,,,,,,,,,,,,,Ramp #4,5.289210079,630.5353577,26.94642741,,633.7853577,,634.2853577000,#DIV/0!,16.84444038,,1.642037929,,0.959662925, Ramp #4
1,5.018808038,2537.984989,26.76721557,16.3215,2551.234989,16.1854,2551.734989,16.25345,16.24833337,,0.469862657,,,,,Ramp #5,5.149379806,836.1788952,26.53800023,,839.4288952,,839.9288952000,#DIV/0!,16.44566557,,1.638619269,,0.936943892,Ramp #5
2,4.89654128,2743.155848,27.05315908,16.2736,2756.355848,16.1346,2756.855848,16.2041,16.19616497,,0.691642908,,,,,Ramp #6,5.085658518,1040.365776,26.60204114,,1043.615776,,1044.1157760000,#DIV/0!,16.87928136,,1.138098673,,0.961647888,Ramp #6
3,4.834410984,2948.36261,27.59402518,16.6719,2961.61261,16.4967,2962.11261,16.5843,16.5776394,,0.323509623,,,,,,,,,,,,,,,,,,,
4,4.794024383,3153.619472,26.81389301,16.2249,3166.869472,16.052,3167.369472,16.13845,16.13289094,,-0.04551492,,,,,,,Macro 3 H2O2,,,,,,,,,,,,
5,4.77106083,3358.89723,27.30234794,16.529,3372.09723,16.3955,3372.59723,16.46225,16.45162465,,0.083215025,,,,,,,,,,,,,,, ,IN 6: Tension      ,IN 6: Tension      ,,
0,4.748906421,3564.095103,28.39486978,16.8381,3577.345103,16.6449,3577.845103,16.7415,16.73157475,,-0.731132136,,,,,,,,,,,,,,,Time,Value,Mean,,
,,,,,,,,,,,,,,,,,BL tension,sel start (sec.),"Peak Tension, 0 sec (mN)",3.25 sec into ramp (mN),sel start time (sec.),3.75 sec into ramp (mN),sel end time  beginning ramp (sec.),average (mN) of two points (3.25+3.75)/2,average (mN) all interval points,at Minimum ,mN,mN,,
for macro #:,4,,,,,,,,,,,,,,,Ramp #1,5.018688923,30.4731391,26.76721557,,33.7231391,,34.2231391,#DIV/0!,16.38769825,,0.469862627,,0.933641372,Macro 3 Ramp #1
1,7.917671256,3837.6805,41.49187534,23.4142,3850.8805,23.121,3851.3805,23.2676,23.25448553,,0.362942615,,,,,Ramp #2,4.896799053,235.2439982,27.05315526,,238.4939982,,238.9939982,#DIV/0!,16.52368634,,0.691642967,,0.941388898, Ramp #2
2,6.492158532,4042.813348,39.3037309,23.2071,4056.063348,23.0068,4056.563348,23.10695,23.08650655,,-0.164596748,,,,,Ramp #3,4.834510355,440.7507596,27.59402518,,444.0007596,,444.5007596,#DIV/0!,16.74786287,,0.323509594,,0.954160703,Ramp #3
3,6.207496444,4248.219322,39.49920834,23.3087,4261.469322,23.0747,4261.969322,23.1917,23.17941154,,-1.075533673,,,,,Ramp #4,4.793979254,646.2326222,26.81389301,,649.4826222,,649.9826222,#DIV/0!,16.2263621,,-0.045514916,,0.924449715, Ramp #4
4,6.127022258,4453.682853,40.23038714,23.7588,4466.932853,23.5426,4467.432853,23.6507,23.63995934,,-1.150686662,,,,,Ramp #5,4.771121199,851.1353801,27.30234985,,854.3853801,,854.8853801,#DIV/0!,16.67840728,,0.083215025,,0.950203673,Ramp #5
5,6.008791879,4659.050725,39.74452699,23.5274,4672.250725,23.2865,4672.750725,23.40695,23.39470753,,-1.264586805,,,,,Ramp #6,4.748811282,1056.583253,28.39486978,,1059.833253,,1060.333253,#DIV/0!,16.8767011500,,-0.731132136,,0.961500888,Ramp #6
0,5.932285944,4864.399473,41.66442169,24.4573,4877.599473,24.2229,4878.099473,24.3401,24.31959531,,-1.473476944,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Macro 4 Washout,,,,,,,,,,,,
for macro #:,5,,,,,,,,,,,,,,,,,,,,,,,,, ,IN 6: Tension      ,IN 6: Tension      ,,
1,5.900417974,5080.992804,42.64207237,25.0972,5094.242804,24.8883,5094.742804,24.99275,24.97989055,,-1.696840419,,,,,,,,,,,,,,,Time,Value,Mean,,
2,5.791978988,5286.265734,44.26624205,25.8873,5299.465734,25.6537,5299.965734,25.7705,25.75689253,,-2.436414429,,,,,,BL tension,sel start (sec.),"Peak Tension, 0 sec (mN)",3.25 sec into ramp (mN),sel start time (sec.),3.75 sec into ramp (mN),sel end time  beginning ramp (sec.),average (mN) of two points (3.25+3.75)/2,average (mN) all interval points,at Minimum ,mN,mN,,Macro 4 Ramp #1
3,5.693702543,5491.499223,43.462543,25.6297,5504.749223,25.3597,5505.249223,25.4947,25.47189083,,-6.082761742,,,,,Ramp #1,7.917374518,34.65528622,41.49187534,,37.90528622,,38.40528622,#DIV/0!,23.58474973,,0.362942615,,1.343672416, Ramp #2
4,5.655687707,5696.943175,43.44637477,25.8496,5710.193175,25.6007,5710.693175,25.72515,25.70714256,,-3.480328724,,,,,Ramp #2,6.492215355,239.8381344,39.30373472,,243.0881344,,243.5881344,#DIV/0!,23.399,,-0.164596763,,1.333089867,Ramp #3
5,5.6325485,5902.357834,43.84876273,26.1894,5915.607834,25.9745,5916.107834,26.08195,26.07183001,,-3.381531518,,,,,Ramp #3,6.207180749,445.4691083,39.49920834,,448.7191083,,449.2191083,#DIV/0!,23.3532,,-1.075533553,,1.330480545, Ramp #4
0,5.611753407,6107.810616,44.52613654,26.72,6121.060616,26.4673,6121.560616,26.59365,26.58085965,,-3.364545144,,,,,Ramp #4,6.127064362,650.1576394,40.23038714,,653.4076394,,653.9076394,#DIV/0!,24.3105,,-1.150686662,,1.385019924,Ramp #5
,,,,,,,,,,,,,,,,Ramp #5,6.008760882,856.0505109,39.74452699,,859.3005109,,859.8005109,#DIV/0!,23.6784,,-1.264586685,,1.349007868,Ramp #6
for macro #:,6,,,,,,,,,,,,,,,Ramp #6,5.932749019,1061.324259,41.66441787,,1064.574259,,1065.074259,#DIV/0!,24.6166,,,,1.40245908,
1,5.155374038,6831.95197,34.41488943,19.7026,6845.15197,19.5449,6845.65197,19.62375,19.6143487,,-8.466764999,,,,,,,,,,,,,,,,,,,
