Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,5.642874756994846,0.45,23.7434175,15.8602,13.65,15.5474,14.15,15.703800000000001,15.748016991000004,,3.4723575
2,5.820653735000004,205.9085019,24.212655,16.0792,219.1585019,16.0479,219.6585019,16.06355,15.966481408000003,,3.4097925
3,5.818040028697437,411.3763873,24.462915,16.0479,424.5763873,15.8915,425.0763873,15.9697,16.017509966363637,,3.2846625
4,5.804590475276922,616.7662591,24.7444575,16.1105,630.0162591,16.0166,630.5162591,16.06355,16.129619639,,3.315945
5,5.777791157164103,822.164765,24.6818925,16.1105,835.414765,16.1105,835.914765,16.1105,16.075669818,,3.2846625
0,5.759750851617347,1027.529004,24.65061,16.1418,1040.779004,16.0479,1041.279004,16.09485,16.106802206000005,,3.1595325
,,,,,,,,,,
for macro #:,2.0
1,6.399581975989796,1259.82738,31.03224,20.3023,1273.07738,19.8644,1273.57738,20.08335,20.11368787,,3.12825
