Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,5.862634439297436,0.45,26.3399,17.3931,13.65,17.0802,14.15,17.23665,17.173679522,,3.5662
2,6.110327521711341,205.9443831,27.2158,17.612,219.1443831,17.5182,219.6443831,17.5651,17.530881901999997,,3.4098
3,6.104346415989742,411.2957574,27.1219,17.4869,424.5457574,17.4556,425.0457574,17.471249999999998,17.541912110000002,,3.3785
4,6.066699628589741,616.7243797,26.9342,17.4244,629.9743797,17.4244,630.4743797,17.4244,17.409186707,,3.4411
5,6.0641251588615335,822.1737658,26.8091,17.5182,835.4237658,17.612,835.9237658,17.5651,17.449847713,,3.5036
0,6.039405263764105,1027.604271,27.0594,17.4869,1040.804271,17.5808,1041.304271,17.53385,17.568464705,,3.5349
,,,,,,,,,,
for macro #:,2.0
1,6.0705324661897455,1256.556634,27.2783,17.7997,1269.756634,17.7685,1270.256634,17.784100000000002,17.587884904,,3.4098
2,6.041666587482048,1461.902137,27.5286,17.7685,1475.152137,17.5495,1475.652137,17.659,17.702710453,,3.4411
3,6.0224869488659785,1667.37351,27.466,17.831,1680.57351,17.6746,1681.07351,17.7528,17.67439354,,3.3785
4,6.000944154923077,1872.905015,27.6537,17.7372,1886.105015,17.7059,1886.605015,17.72155,17.757323444,,3.2221
5,5.949467925589741,2078.31238,27.3722,17.612,2091.56238,17.3931,2092.06238,17.50255,17.563909963,,3.3472
0,5.9697815693520395,2283.804901,27.7476,17.6746,2297.054901,17.6746,2297.554901,17.6746,17.763272796363633,,3.2847
,,,,,,,,,,
for macro #:,3.0
1,5.970903013625641,2529.953633,27.8101,17.8623,2543.153633,17.831,2543.653633,17.84665,17.805836339,,3.3159
2,5.9339306298717975,2735.34626,27.466,17.8936,2748.54626,17.6433,2749.04626,17.76845,17.662120336666668,,3.1908
3,6.008490775943595,2940.707341,27.8101,17.7685,2953.957341,17.7059,2954.457341,17.7372,17.694977403,,3.1283
4,5.95051003491282,3146.274879,27.7163,17.5182,3159.474879,17.6746,3159.974879,17.596400000000003,17.70493566888889,,3.1283
5,5.938322372379485,3351.596259,27.3409,17.6433,3364.796259,17.4869,3365.296259,17.5651,17.557393482222224,,3.1595
0,5.946703195076928,3557.172884,27.4973,17.5182,3570.372884,17.6746,3570.872884,17.596400000000003,17.632856594,,2.9718
,,,,,,,,,,
for macro #:,4.0
1,6.253929983723077,5013.766383,220.9483,82.5858,5027.016383,81.5535,5027.516383,82.06965,81.962589162,,-5.7873
2,4.656845173933335,5219.298639,259.1442,102.0748,5232.548639,100.7609,5233.048639,101.41785,101.33614197,,-6.3503
3,6.1548183817333335,5424.706009,278.2891,107.3928,5437.956009,106.0477,5438.456009,106.72025,106.69959674545454,,-6.6632
4,5.235983635779488,5630.163511,228.6438,97.8517,5643.413511,96.7568,5643.913511,97.30425,97.11657135200002,,-7.1637
