Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,8.21442846527551,22.45446339,33.5273575,20.532,35.70446339,20.4263,36.20446339,20.47915,20.462295849,,2.852642813
2,8.790828604698973,227.7666115,37.29566344,22.0111,241.0166115,21.835,241.5166115,21.92305,21.886095507,,2.007415313
3,8.742529172530611,433.08209,36.626525,21.5181,446.33209,21.3068,446.83209,21.41245,21.365371974000002,,1.760890625
4,8.695456484933674,638.5358516,39.62003906,21.6237,651.7858516,21.3772,652.2858516,21.50045,21.548736881999996,,0.352178125
5,8.660205589784617,843.928744,40.32439531,21.2716,857.178744,21.025,857.678744,21.1483,21.137829513,,-0.598702813
0,8.646394079035897,1049.09235,37.19001,20.1094,1062.34235,20.0037,1062.84235,20.05655,20.017536822000004,,-0.2817425
,,,,,,,,,,
for macro #:,2.0
1,8.57620519212755,1279.068603,36.626525,20.3207,1292.318603,20.1094,1292.818603,20.215049999999998,20.149871401,,0.739574063
2,8.527581332293812,1484.460834,35.95738656,19.9685,1497.660834,19.7924,1498.160834,19.88045,19.891126145,,-1.056534375
3,8.496404737377555,1689.701342,37.92958406,20.1446,1702.951342,19.8981,1703.451342,20.021349999999998,19.947136496000002,,-1.725672813
4,8.469651937774358,1895.040157,37.57740594,19.6163,1908.290157,19.4755,1908.790157,19.5459,19.519099314,,-0.810009688
5,8.426816304127554,2100.395948,39.76091031,20.5672,2113.645948,20.4615,2114.145948,20.51435,20.452413747,,-1.338276875
0,8.391779011164942,2305.844725,40.81744469,20.6376,2319.044725,20.5672,2319.544725,20.6024,20.615387504999998,,-1.690455
,,,,,,,,,,
for macro #:,3.0
1,8.349875252234689,2530.641355,39.58482125,19.6868,2543.891355,19.5811,2544.391355,19.63395,19.698618551000003,,-1.866544063
2,8.31192953101031,2736.051068,39.47916781,20.7785,2749.251068,20.5672,2749.751068,20.67285,20.625621791999997,,-0.633920625
3,8.274289972587637,2941.443862,37.71827719,20.0037,2954.643862,19.7572,2955.143862,19.88045,19.915327808,,0.211306875
4,8.260071372283504,3146.743694,36.66174281,19.6515,3159.943694,19.4402,3160.443694,19.54585,19.488128796999998,,-0.8452275
5,8.213054498846155,3351.998356,38.14089094,19.5811,3365.198356,19.5107,3365.698356,19.5459,19.48405135333333,,-0.880445313
0,8.175912562974355,3557.341326,38.91568281,20.1798,3570.541326,20.0389,3571.041326,20.10935,20.106060336666662,,-1.620019375
,,,,,,,,,,
for macro #:,4.0
1,3.247680989326529,4351.179367,21.55330125,6.8675,4364.429367,6.7618,4364.929367,6.81465,6.9153697124,,-6.092681563
2,8.039467717664948,4556.559208,36.59130719,18.3133,4569.759208,18.2076,4570.259208,18.26045,18.253498066,,-1.479148125
3,8.475096085948456,4761.931964,36.626525,19.5107,4775.131964,19.4755,4775.631964,19.4931,19.469202767,,-0.633920625
4,8.107119651255104,4967.16673,35.00650563,19.3698,4980.41673,19.3698,4980.91673,19.3698,19.351022046666667,,0.563485
5,8.595837056675256,5172.637586,35.95738656,20.215,5185.837586,20.1446,5186.337586,20.1798,20.185054067999996,,1.373494688
0,8.381685103382653,5378.006313,37.57740594,21.025,5391.256313,20.9546,5391.756313,20.9898,20.992443469999998,,1.338276875
,,,,,,,,,,
for macro #:,5.0
1,8.228086569564104,5596.333225,35.35868375,19.6163,5609.533225,19.5107,5610.033225,19.563499999999998,19.593084817999998,,0.880445313
2,8.111414671492309,5801.560242,36.13347562,20.3911,5814.810242,20.3559,5815.310242,20.3735,20.390359909,,1.303059063
3,8.024423499360827,6006.917964,37.54218813,20.3559,6020.117964,20.0389,6020.617964,20.197400000000002,20.228879110999998,,0.457831563
4,7.958939445634017,6212.344726,37.11957437,19.6515,6225.544726,19.4755,6226.044726,19.563499999999998,19.513302469,,-0.2817425
5,7.902677891175254,6417.753593,37.50697031,19.405,6430.953593,19.2994,6431.453593,19.3522,19.293522205,,-0.598702813
0,7.839123828943294,6623.302796,37.26044563,18.912,6636.502796,18.7711,6637.002796,18.841549999999998,18.837923346,,-1.514365937
