Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,8.30867757831795,23.52350202,94.2653,47.6949,36.773502019999995,47.2576,37.273502019999995,47.47624999999999,47.453873771999994,,-11.8378
2,7.766256917979383,228.9941217,93.953,51.5367,242.1941217,51.1307,242.6941217,51.3337,51.312505938,,-6.8091
3,7.875814876066329,434.2487012,102.2613,55.7534,447.4987012,55.1911,447.9987012,55.47225,55.472208244444445,,-4.9975
4,7.5301885923865965,639.6044406,98.4195,52.5675,652.8044406,52.1302,653.3044406,52.34885,52.28746817181818,,-4.6539
5,8.030655158671792,844.7713014,93.8905,53.0047,858.0213014,52.4425,858.5213014,52.723600000000005,52.71293029199999,,-12.8373
0,7.020916316261535,1050.204043,89.6739,49.9125,1063.404043,49.3503,1063.904043,49.6314,49.571521270000005,,-7.8398
,,,,,,,,,,
for macro #:,2.0
1,8.400013686173473,1305.543674,94.6089,52.1926,1318.793674,51.6304,1319.293674,51.911500000000004,51.856171367,,-8.9955
2,6.9286697505561206,1510.882799,82.0839,43.6657,1524.132799,43.2596,1524.632799,43.46265,43.433668205555556,,-9.2766
3,6.7345704428923066,1716.295304,79.3353,42.8223,1729.495304,42.385,1729.995304,42.60365,42.59484474222223,,-8.402
4,7.1737972546769235,1921.725064,78.1172,42.6662,1934.975064,42.0727,1935.475064,42.36945,42.369094547272724,,-14.9925
5,6.831876861400001,2127.040935,78.1484,39.98,2140.290935,39.4178,2140.790935,39.698899999999995,39.66487910454545,,-9.4015
0,6.269783453261536,2332.298685,73.9005,37.2938,2345.498685,36.9503,2345.998685,37.12205,37.15021417888889,,-7.5275
,,,,,,,,,,
for macro #:,3.0
1,5.977691056794873,2559.231188,74.2441,37.7936,2572.431188,37.2938,2572.931188,37.5437,37.55170794666667,,-15.2424
2,6.166324585548716,2764.384916,65.4985,31.0782,2777.634916,30.7034,2778.134916,30.8908,30.90163231545455,,-6.2156
3,5.571653136979489,2969.645802,64.6864,31.2344,2982.845802,31.0157,2983.345802,31.12505,31.129198572222222,,-9.4328
4,7.335803007435897,3175.021723,69.4965,32.4838,3188.221723,32.0777,3188.721723,32.28075,32.261305782222216,,-8.6519
5,6.358501871035898,3380.43043,62.1252,31.453,3393.63043,31.1094,3394.13043,31.2812,31.226045916666667,,-4.6539
0,6.331429194846158,3585.724179,62.1252,28.8606,3598.924179,28.5795,3599.424179,28.72005,28.65997535777778,,-7.6837
,,,,,,,,,,
for macro #:,4.0
1,5.668502777717948,3804.985063,59.033,28.6419,3818.235063,28.2983,3818.735063,28.470100000000002,28.481184119090912,,-5.8096
2,5.833452987364104,4010.396937,57.3463,28.8606,4023.596937,28.6107,4024.096937,28.73565,28.70208630888889,,-5.591
3,5.781001674317947,4215.632682,57.565,27.0802,4228.882682,26.7054,4229.382682,26.8928,26.90569957,,-6.9653
4,5.512885640295917,4420.838556,55.0037,26.9553,4434.088556,26.5805,4434.588556,26.7679,26.74254249636364,,-8.402
5,5.7280089345561205,4626.156305,54.6289,27.7049,4639.406305,27.3925,4639.906305,27.548699999999997,27.523412608,,-7.7774
0,5.9065456037061885,4831.576184,55.035,26.4868,4844.776184,26.2369,4845.276184,26.361849999999997,26.290177859999996,,-9.9325
,,,,,,,,,,
for macro #:,5.0
1,7.642702717661535,5061.408438,69.9962,36.1382,5074.608438,35.7946,5075.108438,35.9664,35.95521492333333,,-5.3098
2,6.475038089241031,5266.60563,61.8128,31.5467,5279.85563,31.1719,5280.35563,31.3593,31.36555945454546,,-4.1542
3,6.443979597189744,5471.824105,58.0959,28.7981,5485.074105,28.5482,5485.574105,28.67315,28.608501126363635,,-5.0287
4,8.801306463938458,5677.154783,67.9035,35.7009,5690.404783,35.4198,5690.904783,35.56035,35.599884485454545,,-2.9985
5,7.664989940687179,5882.606925,67.3101,36.919,5895.806925,36.5755,5896.306925,36.747249999999994,36.69884984000001,,-2.8736
0,7.107238225082053,6088.008312,62.3126,33.7019,6101.258312,33.3583,6101.758312,33.530100000000004,33.557786529090905,,-4.0917
