Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,5.869782888497431,42.3243722,92.26634375,43.1034,55.5743722,42.6662,56.0743722,42.8848,42.922840301,,-19.95876563
2,8.498661393285712,247.6200797,88.92426563,41.5105,260.8700797,41.1669,261.3700797,41.3387,41.32781184777778,,-15.8670625
3,8.161111383224487,453.062858,84.61392188,37.7936,466.312858,37.3875,466.812858,37.59055,37.583561408,,-15.49225
4,8.925240575627555,658.3657481,86.17564063,39.449,671.6157481,39.2616,672.1157481,39.3553,39.35885923888889,,-15.30484375
5,7.289077672830773,863.8264753,85.207375,38.4495,877.0764753,38.4183,877.5764753,38.4339,38.447685371,,-14.55521875
0,7.860821447138461,1069.285347,82.9585,35.7946,1082.535347,35.6384,1083.035347,35.716499999999996,35.63430516999999,,-15.33607813
,,,,,,,,,,
for macro #:,2.0
1,5.950274351969072,1301.953378,77.14890625,30.4535,1315.153378,30.0787,1315.653378,30.2661,30.22067189636363,,-19.58395313
2,6.750955411316325,1507.201553,71.99523438,30.7971,1520.451553,30.516,1520.951553,30.65655,30.65780217555556,,-15.8670625
3,6.694634581340208,1712.718429,72.68239063,31.7654,1725.918429,31.453,1726.418429,31.6092,31.604246663636356,,-16.46051563
4,6.587292314108247,1918.027748,71.30807813,30.0787,1931.227748,29.9225,1931.727748,30.0006,29.989861144545454,,-15.08620313
5,6.541924871036081,2123.445618,69.52771875,31.8278,2136.645618,31.5155,2137.145618,31.67165,31.657300649999996,,-14.89879688
0,6.2311207956989785,2328.744376,72.43251563,33.1709,2341.994376,33.046,2342.494376,33.108450000000005,33.05218096555556,,-15.39854688
,,,,,,,,,,
for macro #:,3.0
1,5.831395384275511,2572.340736,70.714625,31.453,2585.590736,31.1719,2586.090736,31.31245,31.35949999666667,,-15.3673125
2,5.967815196608249,2777.773622,70.68339063,30.7034,2790.973622,30.5785,2791.473622,30.640949999999997,30.54979126545454,,-15.08620313
3,5.706722388775511,2983.155358,69.18414063,30.0787,2996.405358,29.7976,2996.905358,29.93815,29.944971413333334,,-16.71039063
4,6.261512473693873,3188.455101,67.90353125,28.5795,3201.705101,28.4545,3202.205101,28.517,28.494808031111113,,-15.08620313
5,5.953328271892307,3393.959985,68.30957813,29.579,3407.209985,29.2978,3407.709985,29.4384,29.375992092999997,,-18.45951563
0,5.715878526188773,3599.328609,67.18514063,28.8606,3612.578609,28.4545,3613.078609,28.65755,28.570124485555557,,-15.49225
,,,,,,,,,,
for macro #:,4.0
1,5.832018447147963,3832.447731,67.40378125,30.1099,3845.697731,29.9225,3846.197731,30.016199999999998,29.900954508999995,,-16.30434375
2,6.197761839229592,4037.768611,70.0899375,29.5165,4051.018611,29.7976,4051.518611,29.657049999999998,29.7991243,,-15.83582813
3,5.907564421237113,4243.208347,67.12267188,28.7669,4256.408347,28.5795,4256.908347,28.6732,28.680294792727274,,-18.8655625
4,6.137284638553844,4448.633252,64.90503125,28.6107,4461.883252,28.392,4462.383252,28.501350000000002,28.500267709999996,,-16.08570313
5,6.173173154242268,4653.926434,65.37354688,28.4545,4667.126434,28.1109,4667.626434,28.2827,28.24228074545454,,-16.21064063
0,6.3449028149438735,4859.276884,65.24860938,27.2676,4872.526884,27.0177,4873.026884,27.142650000000003,27.124562900000004,,-15.6171875
,,,,,,,,,,
for macro #:,5.0
1,6.44169112046939,5081.001485,66.68539063,28.1422,5094.251485,27.986,5094.751485,28.0641,28.111062374444444,,-15.52348438
2,6.2781509249329925,5286.47936,66.0919375,28.4858,5299.67936,28.2671,5300.17936,28.37645,28.36077836090909,,-15.05496875
3,5.963610313882052,5491.899094,65.81082813,28.2983,5505.149094,28.1109,5505.649094,28.2046,28.167221824000002,,-17.241375
4,6.02186574630612,5697.330149,63.53071875,27.9548,5710.580149,27.7049,5711.080149,27.82985,27.754872636666665,,-17.241375
5,5.895449671572164,5902.622721,66.27934375,29.1417,5915.822721,28.8606,5916.322721,29.001150000000003,28.948156192,,-19.740125
0,5.714583606317945,6107.963489,63.62442188,27.049,6121.163489,26.7054,6121.663489,26.877200000000002,26.88063632,,-16.8665625
