Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,7.2791383461025685,15.13597169,157.1810719,22.0731,28.385971689999998,21.7651,28.885971689999998,21.9191,21.888372856,,-110.1259937
2,8.259420958943588,220.5167422,130.9671156,22.3469,233.7167422,22.1073,234.2167422,22.2271,22.226423387272725,,-101.2625281
3,8.073889774682051,425.8676157,113.2744063,21.7651,439.0676157,21.5256,439.5676157,21.64535,21.594214674545455,,-87.06045
4,8.057777045917947,631.0973591,123.0276406,22.0731,644.2973591,21.7651,644.7973591,21.9191,21.917007843636366,,-98.35366875
5,7.981496585594873,836.2272331,110.9815406,21.4229,849.4772331,21.2518,849.9772331,21.33735,21.33952178222222,,-90.82485625
0,7.985902262410256,1041.560989,117.5521406,21.8678,1054.760989,21.5256,1055.260989,21.6967,21.651931408181817,,-93.45994063
,,,,,,,,,,
for macro #:,2.0
1,7.956934738343601,1267.126498,126.9631563,22.0389,1280.376498,21.8678,1280.876498,21.95335,21.922355165,,-106.8749156
2,7.960356534117344,1472.338608,114.3010625,21.7309,1485.588608,21.5256,1486.088608,21.62825,21.650777192,,-101.4678594
3,7.894558573076921,1677.707111,105.6087063,21.4571,1690.907111,21.0807,1691.407111,21.268900000000002,21.30019905909091,,-99.68832188
4,7.800329119174357,1882.916012,85.93112813,20.5331,1896.166012,20.3278,1896.666012,20.43045,20.427461592999997,,-90.14041875
5,7.740769702569232,2088.226736,85.62313125,20.2936,2101.476736,20.1567,2101.976736,20.22515,20.22197211111111,,-80.38718438
0,7.736332445209188,2293.525611,94.69192813,20.6016,2306.775611,20.3962,2307.275611,20.4989,20.475763014545457,,-75.9725625
,,,,,,,,,,
for macro #:,3.0
1,7.706734882179486,2531.456384,101.6731906,20.7042,2544.706384,20.4989,2545.206384,20.60155,20.579963376666665,,-79.39475
2,7.688630629810253,2736.771113,121.2138813,20.7385,2749.971113,20.4305,2750.471113,20.5845,20.63941812363636,,-100.4412031
3,7.615363637241024,2942.153876,109.0651156,20.1567,2955.353876,19.9514,2955.853876,20.05405,20.017581784545456,,-94.11015625
4,7.549596682646156,3147.522747,104.5136063,19.746,3160.722747,19.5749,3161.222747,19.660449999999997,19.663236158181817,,-90.8933
5,7.501216769210252,3352.828483,93.11772188,19.6091,3366.078483,19.4038,3366.578483,19.50645,19.475646144444443,,-85.86268438
0,7.474248853020515,3558.198363,98.45633438,19.3354,3571.398363,19.2327,3571.898363,19.28405,19.2553238,,-83.29604375
,,,,,,,,,,
for macro #:,4.0
1,7.391902506276918,3809.394249,91.88573437,19.1642,3822.594249,19.0616,3823.094249,19.1129,19.064732747272725,,-80.14763125
2,7.33935098588718,4014.818972,80.93473438,18.8905,4028.018972,18.7536,4028.518972,18.822049999999997,18.83399656818182,,-80.11340937
3,7.357508957174362,4220.008892,111.0157625,18.7194,4233.258892,18.5825,4233.758892,18.65095,18.65643531111111,,-75.76723125
4,7.312618237041026,4425.299614,107.4224656,18.3771,4438.549614,18.2403,4439.049614,18.3087,18.334171753333337,,-74.80901875
5,7.2478799338769235,4630.595515,89.69553438,18.1376,4643.845515,17.9665,4644.345515,18.05205,18.096063393333335,,-79.63430312
0,7.2145798345794905,4835.90824,98.9696625,18.2403,4849.10824,18.0349,4849.60824,18.1376,18.050869205454546,,-71.76327188
,,,,,,,,,,
for macro #:,5.0
1,7.20937777127179,5059.763315,92.19373125,18.1376,5072.963315,18.0007,5073.463315,18.06915,17.998528494545454,,-66.42465938
2,7.222468692770408,5264.949639,99.48299062,18.0007,5278.199639,17.8296,5278.699639,17.915149999999997,17.903777442727275,,-61.1887125
3,7.190545256856411,5470.191465,117.1072563,17.6585,5483.441465,17.6585,5483.941465,17.6585,17.65595517777778,,-60.84649375
4,7.170655899820515,5675.513221,94.65770625,17.59,5688.713221,17.4874,5689.213221,17.5387,17.537472732727274,,-58.55362813
5,7.167316200215386,5880.790092,92.70705938,17.6585,5893.990092,17.5558,5894.490092,17.60715,17.553774834545457,,-52.90701875
0,7.1079435606512815,6086.076001,89.59286875,17.3505,6099.276001,17.282,6099.776001,17.31625,17.342557354545455,,-55.7132125
,,,,,,,,,,
for macro #:,6.0
1,7.077638397810254,6610.767261,121.5903219,17.3847,6624.017261,17.2136,6624.517261,17.299149999999997,17.286739216666668,,-83.60404062
2,7.170183113035894,6815.937988,83.12493437,17.3505,6829.187988,17.1794,6829.687988,17.26495,17.279726783,,-50.95637188
3,7.144658084841837,7021.273859,112.2819719,17.1452,7034.523859,17.0083,7035.023859,17.076749999999997,17.080432115999997,,-48.8688375
4,7.134101361143593,7226.709613,79.87385625,17.1109,7239.909613,16.974,7240.409613,17.042450000000002,17.023092979090908,,-46.9524125
5,7.136564266377551,7432.072622,82.98804687,16.974,7445.322622,16.8714,7445.822622,16.9227,16.95839006,,-49.58749688
0,7.114106657846148,7637.31524,73.91925,17.0425,7650.56524,16.8029,7651.06524,16.9227,16.943889154444445,,-49.1426125
,,,,,,,,,,
for macro #:,7.0
1,7.061582178820513,8241.104516,141.3705656,16.7687,8254.354516,16.6661,8254.854516,16.717399999999998,16.703799828999998,,-63.55002187
2,7.005338202005133,8446.430235,77.03344062,16.7687,8459.680235,16.5634,8460.180235,16.66605,16.637970552,,-53.59145625
3,7.005113916902567,8651.872387,69.43618437,16.5976,8665.122387,16.5976,8665.622387,16.5976,16.601791148,,-49.45060937
4,6.948981778831636,8857.19784,64.13179375,16.4607,8870.44784,16.4607,8870.94784,16.4607,16.511705405,,-45.13865313
5,6.953057329326528,9062.599639,59.8198375,16.5976,9075.849639,16.3923,9076.349639,16.49495,16.480946804000002,,-37.57561875
0,6.921709993948459,9267.97249,55.67899062,16.5292,9281.17249,16.4265,9281.67249,16.47785,16.482685279,,-33.60588125
,,,,,,,,,,
for macro #:,8.0
1,6.960478712589738,9720.163509,109.5784438,16.4949,9733.413509,16.4607,9733.913509,16.477800000000002,16.432310776,,-56.70564687
2,6.903604005912816,9925.592218,70.80505937,16.5292,9938.792218,16.4607,9939.292218,16.49495,16.485025440909087,,-40.58714375
3,6.911755136846147,10130.78998,57.66385938,16.4265,10144.03998,16.3581,10144.53998,16.3923,16.41153817,,-35.24853125
4,6.871646376574358,10336.20984,52.01725,16.4949,10349.40984,16.3581,10349.90984,16.4265,16.383616900909093,,-28.81481875
5,6.867325647594874,10541.43361,49.48483125,16.5292,10554.68361,16.3581,10555.18361,16.443649999999998,16.366855163333334,,-25.63218438
0,6.890272915220514,10746.76169,45.82309062,16.5292,10760.01169,16.3238,10760.51169,16.426499999999997,16.406432273,,-20.6700125
