Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,7.032054811287176,17.72060366,46.50752813,29.0202,30.92060366,28.7122,31.42060366,28.8662,28.825035506363633,,2.53241875
2,7.641287957548715,223.075493,45.5835375,28.3015,236.275493,27.9935,236.775493,28.1475,28.080541783636363,,2.292865625
3,7.496231604210258,428.4587588,44.55688125,27.6171,441.6587588,27.2748,442.1587588,27.44595,27.435861968000005,,2.292865625
4,7.3218872830410255,633.8152389,43.25645,26.7615,647.0652389,26.5562,647.5652389,26.65885,26.65154001333333,,2.25864375
5,7.248063149779484,839.2778768,41.99024062,25.4611,852.5278768,25.2215,853.0278768,25.341299999999997,25.307384536,,2.12175625
0,6.890286950687183,1044.866889,40.89514062,25.3926,1058.066889,24.9477,1058.566889,25.17015,25.148957834,,2.12175625
,,,,,,,,,,
for macro #:,2.0
1,6.794326470635893,1261.710386,40.68980938,25.2215,1274.910386,24.982,1275.410386,25.10175,25.12582385,,2.12175625
2,6.674974337587632,1467.257863,40.72403125,25.1531,1480.457863,25.0162,1480.957863,25.08465,25.062602379999998,,2.087534375
3,6.559120965637757,1672.593607,40.99780625,25.2557,1685.843607,24.982,1686.343607,25.118850000000002,25.137890467,,2.12175625
4,6.613741697020515,1877.916736,40.45025625,24.7766,1891.166736,24.5029,1891.666736,24.63975,24.573640245,,2.0533125
5,6.464172981979595,2083.483999,39.5604875,24.3318,2096.733999,24.1606,2097.233999,24.2462,24.214577385000002,,2.0533125
0,6.336009830540821,2288.828626,38.77338437,23.8184,2302.078626,23.6473,2302.578626,23.73285,23.74823217888889,,2.019090625
,,,,,,,,,,
for macro #:,3.0
1,6.189386221343592,2508.168992,38.12316875,23.4078,2521.418992,23.3051,2521.918992,23.356450000000002,23.291818775555555,,1.98486875
2,6.082579108615388,2713.701625,37.19917813,22.826,2726.901625,22.5864,2727.401625,22.706200000000003,22.744691789090908,,1.950646875
3,5.991052320358974,2919.108268,35.83030313,21.9704,2932.358268,21.7651,2932.858268,21.86775,21.827905878888892,,1.882203125
4,5.797781643410257,3124.49548,34.9063125,21.4229,3137.69548,21.1491,3138.19548,21.286,21.222465552727275,,1.882203125
5,5.52426433529231,3329.936631,33.2636625,20.362,3343.186631,20.2251,3343.686631,20.29355,20.235189348888888,,1.7795375
0,5.3349874123128185,3535.31838,31.65523437,19.4722,3548.56838,19.4038,3549.06838,19.438000000000002,19.42968995222222,,1.7795375
,,,,,,,,,,
for macro #:,4.0
1,5.127697206892855,3834.859508,30.83390938,18.8905,3848.109508,18.7536,3848.609508,18.822049999999997,18.89505324888889,,1.745315625
2,4.980169444881439,4040.361501,29.87569687,18.4456,4053.561501,18.3429,4054.061501,18.39425,18.367195111999997,,1.745315625
3,4.883920136680414,4245.791371,28.64370938,17.59,4258.991371,17.4189,4259.491371,17.50445,17.557854718999998,,1.71109375
4,4.669261732132655,4451.057487,27.27483438,16.7687,4464.307487,16.6318,4464.807487,16.700249999999997,16.718590513,,1.608428125
5,4.4716357984693875,4656.527047,26.17973437,16.1185,4669.777047,16.0501,4670.277047,16.0843,16.030908844,,1.57420625
0,4.351237617747422,4862.001254,25.3241875,15.6736,4875.201254,15.5025,4875.701254,15.588049999999999,15.567462496,,1.539984375
,,,,,,,,,,
for macro #:,5.0
1,4.262485234482053,5098.708375,24.67397188,15.3314,5111.958375,15.1603,5112.458375,15.24585,15.219388007777777,,1.471540625
2,4.199417964338458,5304.090228,24.12642188,14.9892,5317.340228,14.7838,5317.840228,14.8865,14.87888031111111,,1.471540625
3,4.1789090355743586,5509.427735,23.57887188,14.6127,5522.627735,14.5101,5523.127735,14.561399999999999,14.563324165454544,,1.471540625
4,4.1109680234795904,5714.84827,22.89443437,14.0652,5728.09827,13.9283,5728.59827,13.99675,13.97386396,,1.43731875
5,4.03367515435567,5920.327922,22.14155313,13.5861,5933.527922,13.4492,5934.027922,13.51765,13.530340114545453,,1.403096875
0,3.940583505201029,6125.699117,21.32022813,13.107,6138.899117,13.1412,6139.399117,13.124099999999999,13.129888230909092,,1.368875
