Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,6.609744547346939,24.43087425,24.588045,14.5776,37.68087425,14.2648,38.18087425,14.421199999999999,14.34076256,,-0.7194975
2,6.179581787912372,229.9273409,26.840385,14.1397,243.1273409,14.2023,243.6273409,14.171,14.108831672222223,,-2.75286
3,5.907348325855673,435.4011192,24.5567625,13.7956,448.6011192,13.7643,449.1011192,13.77995,13.740414147777777,,-1.063605
4,5.725479915773196,640.8007226,24.337785,13.514,654.0007226,13.3889,654.5007226,13.45145,13.405226971000001,,-1.8456675
5,5.61128877993299,846.1112575,22.961355,13.2951,859.3112575,13.2951,859.8112575,13.2951,13.227723788,,-0.9071925
0,5.473499987747424,1051.610274,21.2408175,13.3263,1064.810274,13.0761,1065.310274,13.2012,13.129565540000002,,0.25026
,,,,,,,,,,
for macro #:,2.0
1,5.347599933348715,1316.196874,20.3023425,12.8571,1329.396874,12.8258,1329.896874,12.84145,12.830873936,,0.37539
2,5.291943705051281,1521.606023,20.4900375,12.7945,1534.856023,12.7945,1535.356023,12.7945,12.692874286,,0.312825
3,5.214847571297435,1727.126359,20.1772125,12.8258,1740.376359,12.732,1740.876359,12.7789,12.677014052999999,,0.25026
4,5.156189827748719,1932.692624,19.9895175,12.5443,1945.892624,12.3566,1946.392624,12.45045,12.424739444,,0.0938475
5,5.107315971923076,2138.056126,20.333625,12.7633,2151.256126,12.5756,2151.756126,12.66945,12.562976822,,0.0938475
0,5.062244791671791,2343.452155,19.1136075,12.4504,2356.652155,12.3879,2357.152155,12.41915,12.364276626000002,,0.87591
,,,,,,,,,,
for macro #:,3.0
1,5.0040423490512795,2586.329285,18.706935,12.4817,2599.579285,12.4817,2600.079285,12.4817,12.421123187,,1.1574525
2,4.940215483651284,2791.895521,18.9884775,12.6694,2805.145521,12.294,2805.645521,12.4817,12.428530878,,0.87591
3,4.892799896097434,2997.890254,19.1761725,12.2315,3011.140254,12.2315,3011.640254,12.2315,12.27781182,,0.688215
4,4.861377839348719,3203.440098,19.5515625,12.6694,3216.640098,12.2315,3217.140098,12.45045,12.282842039999998,,0.4066725
5,4.8274275142307665,3408.80361,19.7392575,12.2002,3422.05361,12.2315,3422.55361,12.21585,12.174047851000001,,0.187695
0,4.790844001020514,3614.234495,19.39515,12.1063,3627.434495,12.1689,3627.934495,12.137599999999999,12.092481945000001,,0.0312825
,,,,,,,,,,
for macro #:,4.0
1,0.6838749116666666,4535.39402,7.9144725,2.3149,4548.64402,2.0959,4549.14402,2.2054,2.1367824407000002,,-3.5974875
2,0.6371690165128205,4740.768243,7.320105,2.3462,4754.018243,2.1898,4754.518243,2.268,2.21908045,,-2.940555
3,0.6184203716358975,4946.29537,7.0385625,2.1585,4959.49537,2.0334,4959.99537,2.09595,2.1440712637,,-2.815425
4,0.7399122971435899,5151.770748,9.00936,6.0375,5164.970748,7.2888,5165.470748,6.66315,7.0273633771,,-1.2825825
5,5.506112715943588,5357.242765,20.0520825,11.512,5370.492765,11.1991,5370.992765,11.355550000000001,11.260411201,,0.12513
0,6.036568333733336,5562.684725,21.4910775,12.4192,5575.884725,12.4192,5576.384725,12.4192,12.585775511,,0.312825
,,,,,,,,,,
for macro #:,5.0
1,6.586827478482058,5867.882755,23.64957,14.0458,5881.132755,13.9207,5881.632755,13.98325,13.900522857999999,,0.6569325
2,5.698169326861537,6073.345879,21.6162075,13.1699,6086.595879,13.0448,6087.095879,13.10735,13.028998544,,0.25026
3,5.363293484102564,6278.735156,21.3033825,12.9197,6291.985156,12.8258,6292.485156,12.87275,12.792089884,,-0.2189775
4,6.718126724082054,6484.105628,24.27522,14.5151,6497.305628,14.2961,6497.805628,14.4056,14.537565757,,0.813345
5,5.953781059410258,6689.487272,23.336745,14.1397,6702.737272,13.952,6703.237272,14.04585,14.042851996000001,,0.1564125
0,5.668080049774357,6894.816021,23.1177675,13.5453,6908.066021,13.2012,6908.566021,13.373249999999999,13.504986884,,-0.2815425
