Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,7.6503157539336755,0.4,42.36702844,26.9064,13.65,26.6599,14.15,26.78315,26.71123172,,-0.105653438
2,10.084739925897445,205.844874,44.40966156,27.5051,219.094874,27.2938,219.594874,27.39945,27.370079335000003,,1.725672813
3,10.100088870510206,411.0994135,45.74793844,27.6108,424.3494135,27.4699,424.8494135,27.54035,27.46889342,,1.443930313
4,10.134530916512812,616.4185659,43.42356281,26.3781,629.6685659,26.3077,630.1685659,26.3429,26.340549907999996,,1.091752188
5,10.189792094307693,821.8192545,45.21967125,27.0473,835.0692545,26.836,835.5692545,26.94165,26.917326225,,0.633920625
0,10.16683802794872,1027.033847,44.90271094,27.329,1040.283847,27.1529,1040.783847,27.240949999999998,27.251599728000002,,-2.782207188
,,,,,,,,,,
for macro #:,2.0
1,10.172317198307688,1272.249179,46.73403719,28.2799,1285.499179,28.139,1285.999179,28.20945,28.213123465000002,,0.387395938
2,10.14769637969072,1477.581927,43.31790937,26.6599,1490.781927,26.5894,1491.281927,26.624650000000003,26.696841701000004,,1.655237188
3,10.063754448666671,1682.796793,44.19835469,26.836,1696.046793,26.6247,1696.546793,26.73035,26.715788916,,2.570900313
4,10.053526819948724,1888.093555,44.90271094,27.4347,1901.343555,27.2586,1901.843555,27.34665,27.331367969000002,,0.528267188
5,10.053003108144328,2093.590505,45.60706719,27.3642,2106.790505,27.2586,2107.290505,27.3114,27.314047880000004,,1.26784125
0,10.175365203814435,2298.831188,44.90271094,27.1882,2312.031188,26.9064,2312.531188,27.0473,27.028663740000002,,1.725672813
,,,,,,,,,,
for macro #:,3.0
1,10.170687397731955,2548.080177,44.58575062,26.836,2561.280177,26.6951,2561.780177,26.765549999999998,26.775807117,,1.4087125
2,10.14575613587629,2753.687168,43.81095875,26.3781,2766.887168,26.3077,2767.387168,26.3429,26.349157123999998,,0.8452275
3,10.153541793144328,2959.345051,45.46619594,27.1529,2972.545051,26.836,2973.045051,26.99445,27.002334931,,0.669138438
4,10.13337247163265,3164.97855,44.83227531,26.8712,3178.22855,26.6599,3178.72855,26.76555,26.758290571111115,,1.620019375
5,10.100910019795919,3370.649315,45.04358219,27.1882,3383.899315,27.1529,3384.399315,27.17055,27.127132868,,1.338276875
0,10.072282287806127,3576.299419,42.5431175,26.026,3589.549419,25.7794,3590.049419,25.9027,25.930706199999996,,2.746989375
,,,,,,,,,,
for macro #:,4.0
1,6.990114478974491,4798.07068,31.97777375,17.3624,4811.32068,17.2215,4811.82068,17.29195,17.325078848,,-1.655237188
2,7.547386286804122,5003.463424,33.63301094,19.3346,5016.663424,19.1937,5017.163424,19.26415,19.286387064000003,,0.070435625
3,7.7661279125794875,5208.720414,35.67564406,20.8489,5221.970414,20.532,5222.470414,20.69045,20.739952819000003,,-0.669138438
4,8.717381069816327,5413.960053,41.09918719,23.772,5427.210053,23.6664,5427.710053,23.7192,23.765240325999997,,-0.176089063
5,8.290739904688778,5619.240801,39.37351437,23.2438,5632.490801,23.1381,5632.990801,23.19095,23.154623917777776,,0.493049375
0,8.152223155630773,5824.609928,36.55608937,21.4124,5837.859928,21.2716,5838.359928,21.342,21.328569373,,0.457831563
,,,,,,,,,,
for macro #:,5.0
1,8.062599614897962,6056.08907,37.08435656,21.6237,6069.33907,21.5181,6069.83907,21.5709,21.579601758,,0.14087125
2,7.978689334103095,6260.540801,36.52087156,21.5885,6273.740801,21.4829,6274.240801,21.5357,21.525098684000003,,-2.500464688
3,7.886886893630766,6465.902632,37.26044563,22.2577,6479.102632,22.0816,6479.602632,22.16965,22.208627173,,-0.246524688
4,7.7416788048666625,6671.222286,35.35868375,21.0603,6684.472286,20.9194,6684.972286,20.98985,20.972270714,,0.316960313
5,7.65898831767347,6876.551307,35.99260438,21.342,6889.801307,21.1307,6890.301307,21.23635,21.212026504000004,,0.528267188
0,7.685492487846153,7081.921199,36.9082675,21.7998,7095.121199,21.6942,7095.621199,21.747,21.699997522,,1.760890625
