Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,6.264639188158971,14.85708375,33.1281675,20.2711,28.05708375,20.3336,28.55708375,20.30235,20.339849964,,-1.2513
2,7.548455676594871,220.3848581,35.0676825,21.1157,233.5848581,20.6152,234.0848581,20.865450000000003,20.848428412000004,,-1.0948875
3,7.611425036020616,425.8061985,35.098965,20.8654,439.0061985,20.9906,439.5061985,20.928,20.970624129,,-1.4077125
4,7.607108283041021,631.204987,36.600525,21.8977,644.454987,21.3034,644.954987,21.60055,21.513081531999998,,-1.0948875
5,7.4878853706307735,836.6596142,36.78822,21.3972,849.9096142,21.4911,850.4096142,21.44415,21.490426751999998,,-1.0323225
0,7.455205700500002,1042.312469,36.1312875,21.4598,1055.512469,21.3034,1056.012469,21.3816,21.361048566999997,,-1.188735
,,,,,,,,,,
for macro #:,2.0
1,7.423006653041239,1484.488312,35.5682025,21.2095,1497.688312,21.0531,1498.188312,21.1313,21.172984399999997,,-1.5328425
2,7.493647126348717,1689.919964,35.16153,20.9593,1703.119964,20.7716,1703.619964,20.86545,20.862161440999998,,-0.938475
3,7.486233012205127,1895.546963,35.349225,21.2408,1908.746963,21.2721,1909.246963,21.25645,21.286990359999997,,-0.563085
4,7.439042628025508,2100.924374,34.66101,20.709,2114.174374,20.6464,2114.674374,20.6777,20.805377445,,-1.2200175
5,7.461729875494841,2306.382472,34.7548575,20.8654,2319.582472,20.5526,2320.082472,20.709000000000003,20.600057857,,-1.2200175
0,7.494727736071801,2511.71309,34.8174225,20.6464,2524.96309,20.5839,2525.46309,20.61515,20.685784425999998,,-1.3451475
,,,,,,,,,,
for macro #:,3.0
1,7.319262607515466,2750.007332,34.3169025,20.2398,2763.207332,20.3962,2763.707332,20.317999999999998,20.356198217,,-1.0323225
2,7.326748474025775,2955.568488,33.65997,20.4275,2968.768488,20.3649,2969.268488,20.3962,20.362185694,,-1.063605
3,7.2628739800153035,3160.978337,34.91127,20.7403,3174.228337,20.6777,3174.728337,20.709000000000003,20.921548143,,-1.0323225
4,7.365921799076924,3366.502087,33.91023,20.3023,3379.702087,20.3649,3380.202087,20.333599999999997,20.260974264999998,,-0.7194975
5,7.28113337781122,3571.889239,34.1292075,20.4588,3585.139239,20.3023,3585.639239,20.38055,20.325816657000004,,-0.9697575
0,7.2963549868102575,3777.798713,33.5661225,19.9895,3790.998713,19.8644,3791.498713,19.926949999999998,20.033750666,,-0.3441075
