Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,8.479006727309278,503.9544191,32.68213,20.6729,517.1544191,20.5672,517.6544191,20.62005,20.660875486363636,,2.5356825
2,8.043081900230764,709.3223778,30.85080375,20.1446,722.5723778,20.0389,723.0723778,20.09175,20.058699396,,2.007415313
3,8.07314752190769,914.8600461,30.35775437,19.8276,928.1100461,19.6868,928.6100461,19.7572,19.774653968000003,,-0.035217813
4,8.017350362372449,1120.166011,30.53384344,19.8981,1133.416011,19.7924,1133.916011,19.84525,19.87021854,,2.817425
5,8.091551958964283,1325.339672,30.56906125,19.9685,1338.589672,19.8276,1339.089672,19.898049999999998,19.86239234888889,,2.817425
0,8.150782830698981,1530.762672,30.92123937,20.1798,1544.012672,20.0389,1544.512672,20.10935,20.109025713,,2.465246875
,,,,,,,,,,
for macro #:,2.0
1,8.20820746532821,1752.366166,31.76646687,20.532,1765.616166,20.3559,1766.116166,20.44395,20.40201187909091,,0.810009688
2,8.208717490774355,1957.626135,30.60427906,20.0742,1970.826135,19.9333,1971.326135,20.00375,19.957561022000004,,3.627434688
3,8.198176906163267,2162.835228,32.82300125,21.3772,2176.085228,21.342,2176.585228,21.3596,21.322082242999997,,2.746989375
4,8.226098101005158,2368.237666,32.43560531,21.2363,2381.437666,21.1307,2381.937666,21.183500000000002,21.146535395,,2.183504375
5,8.299923125476921,2573.542439,33.94997125,21.9055,2586.742439,21.7646,2587.242439,21.835050000000003,21.808828825454547,,3.38091
0,8.424786861764103,2778.836559,33.91475344,22.0111,2792.086559,21.9055,2792.586559,21.9583,21.933852205454546,,2.887860625
,,,,,,,,,,
for macro #:,3.0
1,8.418790810846152,2999.307043,35.18259469,22.5394,3012.507043,22.3281,3013.007043,22.43375,22.467683741818185,,3.556999063
2,8.587702509097937,3204.510934,38.0352375,24.4412,3217.710934,24.2299,3218.210934,24.335549999999998,24.273208188,,3.486563438
3,8.700219957425636,3409.783797,36.80261406,23.8425,3422.983797,23.5959,3423.483797,23.7192,23.685086555454543,,4.014830625
4,8.696781971230768,3615.090982,37.26044563,24.0185,3628.340982,23.7368,3628.840982,23.87765,23.881070560909095,,4.08526625
5,8.974793154826536,3820.407295,38.66915813,24.8638,3833.657295,24.6525,3834.157295,24.75815,24.71099287111111,,3.944395
0,9.065759047396913,4025.922394,38.66915813,24.9342,4039.122394,24.6877,4039.622394,24.81095,24.783260568,,3.909177188
,,,,,,,,,,
for macro #:,4.0
1,9.18897787209231,4256.637293,39.33829656,25.3216,4269.887293,25.0751,4270.387293,25.198349999999998,25.143947447000002,,4.120484063
2,9.258462651733332,4461.98517,40.18352406,25.8499,4475.23517,25.5329,4475.73517,25.6914,25.664872070909095,,4.578315625
3,9.31704304074872,4667.394921,41.27527625,26.5542,4680.644921,26.3077,4681.144921,26.430950000000003,26.36463701909091,,3.909177188
4,9.355005163649485,4872.654924,42.68398875,27.2938,4885.854924,27.0825,4886.354924,27.18815,27.220509365999998,,4.331790938
5,9.520987391647957,5078.01456,42.64877094,27.4347,5091.26456,27.1882,5091.76456,27.31145,27.2577698,,4.64875125
0,9.58071912259694,5283.359419,44.48009719,28.3151,5296.609419,28.139,5297.109419,28.22705,28.21782619333333,,4.050048438
,,,,,,,,,,
for macro #:,5.0
1,9.659476415902555,5518.593297,44.90271094,28.5969,5531.843297,28.3856,5532.343297,28.49125,28.499373684,,4.437444375
2,9.762244656605127,5724.101272,45.29010687,28.773,5737.351272,28.4912,5737.851272,28.6321,28.642096171818174,,4.613533437
3,9.775354455649484,5929.592792,45.74793844,29.0195,5942.792792,28.7377,5943.292792,28.8786,28.877225806000002,,4.437444375
4,9.844919279164099,6134.933916,46.94534406,29.7238,6148.183916,29.5125,6148.683916,29.61815,29.657441103000004,,4.543097813
5,9.791809248061533,6340.330434,49.58668,30.9917,6353.580434,30.6395,6354.080434,30.815600000000003,30.724141259090903,,3.697870313
0,9.84088256537755,6545.541173,46.769255,29.4773,6558.791173,29.2308,6559.291173,29.35405,29.352766095454545,,4.296573125
,,,,,,,,,,
for macro #:,6.0
1,8.437291572138463,7376.186797,31.09732844,17.8906,7389.436797,17.8202,7389.936797,17.8554,17.828777918,,2.39481125
2,8.81299468393334,7581.687664,35.56999063,21.6942,7594.887664,21.5181,7595.387664,21.60615,21.564091819999994,,2.25394
3,8.851372656814434,7787.216542,38.0352375,23.9129,7800.416542,23.6312,7800.916542,23.77205,23.757693562222226,,3.52178125
4,8.537256268446155,7992.463314,37.50697031,24.0538,8005.713314,23.7368,8006.213314,23.8953,23.856947625,,2.817425
5,8.440209649788661,8197.781046,37.40131687,23.8425,8210.981046,23.6664,8211.481046,23.75445,23.730677609999997,,3.310474375
0,8.482577096887171,8403.347177,38.38741563,24.3003,8416.547177,24.1946,8417.047177,24.24745,24.208207937777775,,3.24003875
,,,,,,,,,,
for macro #:,7.0
1,8.426496096666666,8618.980043,38.63394031,24.1946,8632.230043,23.9833,8632.730043,24.08895,24.083060216,,2.289157813
2,8.968648786938461,8824.285795,41.38092969,25.9555,8837.535795,25.6738,8838.035795,25.81465,25.738522748999998,,2.500464688
3,9.597849105646153,9029.627674,44.48009719,28.0686,9042.877674,27.8221,9043.377674,27.945349999999998,27.886485367,,3.592216875
4,9.094259124353844,9234.849438,43.77574094,27.7516,9248.099438,27.4699,9248.599438,27.61075,27.628183726000003,,3.275256563
5,9.047545930158977,9440.498317,44.40966156,27.9629,9453.748317,27.7164,9454.248317,27.83965,27.886943187999996,,2.852642813
0,8.602654079497436,9645.970043,43.31790937,27.329,9659.170043,27.2234,9659.670043,27.276200000000003,27.246366297999998,,3.134385313
