Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,6.336704448174356,86.76560917,51.224375,28.1109,100.01560917,27.8298,100.51560917,27.97035,27.939079783,,-0.468515625
2,6.9576186621237115,292.2412319,51.78659375,28.4858,305.4412319,28.2046,305.9412319,28.3452,28.318743230000003,,-1.030734375
3,7.012456121482047,497.5679914,56.3468125,30.1724,510.7679914,29.8288,511.2679914,30.0006,29.995450963999996,,-1.249375
4,7.144256581810259,703.014023,54.19164063,29.3915,716.264023,29.1417,716.764023,29.2666,29.272531358,,-2.3738125
5,7.037073942943586,908.3426029,54.19164063,29.579,921.5426029,29.1417,922.0426029,29.36035,29.36034659272727,,-1.06196875
0,7.2210855087422665,1114.704734,60.46975,32.7024,1127.904734,32.4213,1128.404734,32.56185,32.53012244,,-3.217140625
,,,,,,,,,,
for macro #:,2.0
1,7.324252362235895,1339.370857,54.78509375,29.579,1352.620857,29.1104,1353.120857,29.3447,29.316996687000007,,-2.904796875
2,7.064188592810257,1544.672974,54.9725,29.6102,1557.922974,29.2978,1558.422974,29.454,29.505564887000002,,-3.841828125
3,7.181322139122446,1749.967748,54.94126563,29.5477,1763.217748,29.1729,1763.717748,29.3603,29.364486579090904,,-3.43578125
4,7.048249761066666,1955.416621,55.78459375,30.0162,1968.666621,29.6102,1969.166621,29.813200000000002,29.786374466,,-1.68665625
5,7.011724986798968,2160.723542,57.25260938,30.7659,2173.923542,30.516,2174.423542,30.640949999999997,30.579751057777774,,-2.904796875
0,6.871235692764103,2365.960139,54.53521875,29.2354,2379.160139,28.8918,2379.660139,29.0636,29.015672429090902,,-2.81109375
,,,,,,,,,,
for macro #:,3.0
1,6.977240073615382,2623.775615,56.31557813,29.8288,2637.025615,29.4853,2637.525615,29.657049999999998,29.684269308,,-3.342078125
2,6.840089143706186,2829.347476,53.00473438,28.2983,2842.547476,28.0485,2843.047476,28.1734,28.147960606666665,,-2.342578125
3,6.603844502820512,3034.846219,51.47425,27.6112,3048.096219,27.3925,3048.596219,27.501849999999997,27.459242642222218,,-0.93703125
4,6.632098336907691,3240.414726,51.88029688,28.0172,3253.614726,27.8298,3254.114726,27.923499999999997,27.884162149999998,,-1.030734375
5,6.614277439646153,3445.841857,53.50448438,28.5795,3459.041857,28.2046,3459.541857,28.392049999999998,28.365656629090914,,-0.81209375
0,6.602274145035895,3651.689579,50.63092188,27.3925,3664.889579,27.2676,3665.389579,27.33005,27.337324350000003,,-3.248375
,,,,,,,,,,
for macro #:,4.0
1,6.701119897384614,3917.267223,53.81682813,28.8293,3930.467223,28.4233,3930.967223,28.6263,28.551893107272726,,-1.280609375
2,6.336651265066663,4122.645322,51.31807813,27.6424,4135.895322,27.3301,4136.395322,27.48625,27.44363492909091,,-4.778859375
3,6.326271512994844,4328.074866,51.13067188,27.5487,4341.274866,27.3613,4341.774866,27.455,27.413015745555548,,-4.778859375
4,6.29584669221538,4533.508724,49.31907813,26.518,4546.708724,26.2993,4547.208724,26.40865,26.396070263000002,,-1.56171875
5,6.2284058534484545,4738.713474,47.47625,25.1749,4751.913474,25.05,4752.413474,25.112450000000003,25.080432747777778,,-1.56171875
0,6.124529136702566,4944.101354,47.38254688,25.1124,4957.351354,24.8626,4957.851354,24.9875,24.99188668111111,,-2.49875
,,,,,,,,,,
for macro #:,5.0
1,6.071521338697434,5283.012678,49.1004375,25.7996,5296.262678,25.4873,5296.762678,25.64345,25.615033235555558,,-1.405546875
2,5.818679634517947,5488.694607,47.44501563,25.1749,5501.894607,24.9875,5502.394607,25.081200000000003,25.036204794444444,,-1.68665625
3,5.755884171036084,5694.128112,45.38354688,24.2379,5707.328112,23.988,5707.828112,24.112949999999998,24.048948655555556,,-2.68615625
4,5.749726602482048,5899.512235,44.25910938,23.3321,5912.762235,23.2071,5913.262235,23.2696,23.223526173,,-3.3733125
5,5.567344342918369,6105.138983,44.25910938,23.0822,6118.388983,22.8323,6118.888983,22.957250000000002,22.94992263272727,,-2.49875
0,5.471402952476922,6310.580702,42.44751563,22.2076,6323.830702,22.0202,6324.330702,22.1139,22.146589846000005,,-1.842828125
