Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,,
for macro #:,1,,,,,,,,,,
1,3.015498879,18.29584994,67.74735938,30.516,31.54584994,30.2661,32.04584994,30.39105,30.42046969,,-24.51898438
2,5.068901135,223.770724,67.43501563,28.5482,236.970724,28.2046,237.470724,28.3764,28.33300762,,-21.80159375
3,5.174662947,429.0564696,69.99623438,25.7996,442.3064696,25.5185,442.8064696,25.65905,25.6090265,,-22.83232813
4,4.837230498,634.3383736,68.24710938,22.7699,647.5883736,22.395,648.0883736,22.58245,22.58363388,,-23.80059375
5,6.168444062,839.5960816,67.3413125,22.6137,852.8460816,22.3013,853.3460816,22.4575,22.51400451,,-23.80059375
0,5.957223447,1044.768855,65.967,20.7709,1057.968855,20.4585,1058.468855,20.6147,20.58275974,,-22.70739063
,,,,,,,,,,,
for macro #:,2,,,,,,,,,,
1,6.545710437,1305.832111,66.24810938,20.6147,1319.032111,20.3023,1319.532111,20.4585,20.43815769,,-20.92703125
2,5.321839037,1511.022974,63.0934375,19.8963,1524.222974,19.6152,1524.722974,19.75575,19.7057797,,-20.239875
3,5.050547516,1716.214721,64.31157813,21.8016,1729.414721,21.5205,1729.914721,21.66105,21.62079677,,-19.14667188
4,5.378814072,1921.447594,61.0944375,21.8328,1934.647594,21.5205,1935.147594,21.67665,21.60143763,,-18.67815625
5,4.888111438,2126.710369,62.218875,22.0827,2139.910369,21.6767,2140.410369,21.8797,21.79288224,,-18.6156875
0,4.328972572,2332.018228,62.65615625,21.5517,2345.268228,21.2706,2345.768228,21.41115,21.39550938,,-17.08520313
,,,,,,,,,,,
for macro #:,3,,,,,,,,,,
1,5.022280569,2559.758054,60.43851563,19.8338,2572.958054,19.4903,2573.458054,19.66205,19.6875013,,-18.49075
2,5.728314517,2764.900357,61.15690625,21.3643,2778.100357,21.052,2778.600357,21.20815,21.2024871,,-17.241375
3,5.130174926,2970.150411,61.3443125,24.9563,2983.350411,24.6752,2983.850411,24.81575,24.82671166,,-15.64842188
4,5.86963076,3175.326024,60.00123438,20.8021,3188.526024,20.3023,3189.026024,20.5522,20.53314875,,-16.27310938
5,5.410409154,3380.60575,59.25160938,20.5835,3393.85575,20.2711,3394.35575,20.4273,20.38403008,,-17.92853125
0,2.875142706,3585.784601,57.721125,20.1462,3599.034601,19.7401,3599.534601,19.94315,19.98034862,,-15.8670625
,,,,,,,,,,,
for macro #:,4,,,,,,,,,,
1,4.68022992,3842.682122,58.53321875,20.0212,3855.882122,19.584,3856.382122,19.8026,19.67498712,,-17.05396875
2,4.234618555,4047.879976,58.15840625,23.1447,4061.129976,22.8948,4061.629976,23.01975,22.99815483,,-16.05446875
3,4.872498764,4253.254605,59.12667188,20.7709,4266.454605,20.4898,4266.954605,20.63035,20.63233497,,-16.8665625
4,5.564686912,4458.56073,57.62742188,21.0832,4471.81073,20.8021,4472.31073,20.94265,20.84557903,,-15.77335938
5,4.51178489,4664.096337,57.3463125,19.3028,4677.296337,18.9905,4677.796337,19.14665,19.07634349,,-17.21014063
0,4.79234303,4869.390127,59.15790625,22.7074,4882.590127,22.4263,4883.090127,22.56685,22.5309415,,-15.58595313
,,,,,,,,,,,
for macro #:,5,,,,,,,,,,
1,3.34446288,5109.318707,61.18814063,20.6772,5122.518707,20.4585,5123.018707,20.56785,20.58718993,,-16.96026563
2,3.988529412,5314.519574,58.00223438,18.9905,5327.769574,18.8656,5328.269574,18.92805,18.90640008,,-17.58495313
3,4.681688445,5520.026215,58.90803125,20.9583,5533.276215,20.7396,5533.776215,20.84895,20.8323662,,-16.96026563
4,4.844134074,5725.33511,58.25210938,20.8021,5738.53511,20.6772,5739.03511,20.73965,20.68737617,,-15.96076563
5,3.725683261,5930.445978,57.93976563,19.8963,5943.645978,19.6777,5944.145978,19.787,19.72485424,,-16.55421875
0,5.045408412,6135.809717,58.53321875,19.9275,6149.009717,19.6777,6149.509717,19.8026,19.72735638,,-16.96026563
