Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,7.888331250523078,26.44662995,34.3882875,22.4674,39.646629950000005,22.2437,40.146629950000005,22.35555,22.353582032000006,,3.483571875
2,7.050036212728203,231.9655248,32.02329375,21.6365,245.2155248,21.5406,245.7155248,21.58855,21.540714831,,3.323775
3,6.578139147071795,437.5822527,30.71295937,20.7416,450.7822527,20.7736,451.2822527,20.757599999999996,20.864850444,,3.0681
4,6.300419421241025,643.1089015,29.913975,20.454,656.3089015,20.454,656.8089015,20.454,20.360550791,,3.036140625
5,6.117328895384613,848.7925024,29.2747875,20.1024,861.9925024,19.8787,862.4925024,19.99055,20.012475064000004,,2.844384375
0,5.972121242415385,1054.342751,28.92323438,19.7189,1067.592751,19.5911,1068.092751,19.655,19.669505836999996,,2.844384375
,,,,,,,,,,
for macro #:,2.0
1,5.783541922810254,2019.688654,28.5077625,19.2076,2032.888654,19.2715,2033.388654,19.23955,19.146247765,,2.652628125
2,5.647135793719387,2225.178254,27.70877812,19.2395,2238.428254,18.7921,2238.928254,19.0158,18.87538142909091,,2.588709375
3,5.55233105531282,2430.860504,27.16546875,18.6643,2444.060504,18.5364,2444.560504,18.60035,18.636610771,,2.55675
4,5.483156878753851,2636.40127,27.00567187,18.4725,2649.60127,18.6643,2650.10127,18.5684,18.450537172,,2.396953125
5,5.44020047827041,2841.952502,26.74999687,18.4725,2855.202502,18.057,2855.702502,18.26475,18.31913140090909,,2.524790625
0,5.415893718517951,3047.45663,26.62215937,18.1529,3060.65663,18.089,3061.15663,18.12095,18.195066642999997,,2.396953125
,,,,,,,,,,
for macro #:,3.0
1,5.238508455811223,4756.816346,26.78195625,18.057,4770.066346,17.8973,4770.566346,17.97715,17.845011143636366,,2.333034375
2,5.115735191184616,4962.626353,25.59945937,17.5457,4975.826353,17.3859,4976.326353,17.4658,17.50196346,,2.396953125
3,5.031537798764105,5168.324355,25.1839875,17.5777,5181.524355,17.0983,5182.024355,17.338,17.295410451000002,,2.269115625
4,4.970111554420513,5374.126006,24.76851562,17.1302,5387.326006,17.0983,5387.826006,17.11425,17.112315001000006,,2.269115625
5,4.919553231576529,5580.542129,24.64067813,17.1622,5593.792129,16.8426,5594.292129,17.0024,16.95252487272727,,2.269115625
0,4.87634374856923,5785.340254,24.32108438,16.7467,5798.590254,16.5869,5799.090254,16.666800000000002,16.810465167,,2.10931875
,,,,,,,,,,
for macro #:,4.0
1,4.834705539489692,7000.873355,24.48088125,16.8106,7014.073355,16.4591,7014.573355,16.63485,16.629592218888888,,2.205196875
2,4.800111305389741,7206.512016,23.9056125,16.4271,7219.762016,16.3632,7220.262016,16.39515,16.477160558999998,,2.141278125
3,4.780483986917949,7412.187021,23.96953125,16.6189,7425.437021,16.4271,7425.937021,16.523,16.399844444,,2.23715625
4,4.760460045015384,7617.914007,23.777775,16.4271,7631.164007,16.3312,7631.664007,16.37915,16.333969896000003,,2.269115625
5,4.749484374420511,7823.556381,23.93757188,16.491,7836.756381,16.1714,7837.256381,16.3312,16.282745538,,2.141278125
0,4.740181081199997,8029.18364,23.777775,16.2354,8042.38364,16.1395,8042.88364,16.18745,16.166362456999998,,2.23715625
,,,,,,,,,,
for macro #:,5.0
1,4.432448995041235,10923.82828,23.42622188,15.6281,10937.02828,15.5003,10937.52828,15.5642,15.63238856,,1.98148125
2,4.390716270369232,11129.21401,22.53135937,15.3085,11142.46401,15.4364,11142.96401,15.37245,15.319016909999998,,1.9175625
3,4.341962993117949,11334.9356,22.05196875,15.0209,11348.1856,15.0209,11348.6856,15.0209,15.064786527999999,,1.85364375
4,4.289249048138462,11540.54438,21.76433438,15.1487,11553.79438,14.8611,11554.29438,15.0049,14.875612560000002,,1.885603125
5,4.243430782984615,11746.09148,21.50865938,14.7652,11759.34148,14.6694,11759.84148,14.7173,14.745589018999999,,1.757765625
0,4.215006935164102,11951.78413,21.41278125,14.7652,11964.98413,14.7652,11965.48413,14.7652,14.639189905,,1.693846875
,,,,,,,,,,
for macro #:,6.0
1,4.15124977954872,12600.9075,21.18906563,14.7333,12614.1575,14.4456,12614.6575,14.58945,14.480537166,,1.693846875
2,4.147420554794875,12807.29684,21.0931875,14.3817,12820.54684,14.2219,12821.04684,14.3018,14.426596128,,1.85364375
3,4.169821713999999,13012.05538,20.8375125,14.5096,13025.25538,14.3178,13025.75538,14.4137,14.427785013,,1.757765625
4,4.1455210204051305,13217.82345,20.90143125,14.3498,13231.02345,14.2219,13231.52345,14.28585,14.390028203,,1.789725
5,4.133993026010256,13423.45863,20.86947187,14.2539,13436.70863,14.2858,13437.20863,14.26985,14.326198933999999,,1.757765625
0,4.0959770976410255,13629.15538,20.64575625,14.19,13642.40538,14.19,13642.90538,14.19,14.247105862999998,,1.72580625
