Ramp #,BL tension,BL tension start point,peak tension,value 3.25 seconds in,time 3.25 seconds into ramp,value 3.75 seconds into ramp,time 3.75 seconds into ramp,average of 3.25 and 3.75,average of all interval points,placeholder for time at min,Min value
,,,,,,,,,,
for macro #:,1.0
1,6.259561654137758,0.4,22.4153,15.3314,13.65,15.0918,14.15,15.2116,15.175060871,,2.9089
2,7.104619289984618,205.862879,24.366,16.4607,219.062879,16.2554,219.562879,16.35805,16.361534486363638,,2.9431
3,6.561564329582474,411.3106114,23.3051,15.879,424.5106114,15.7078,425.0106114,15.7934,15.812278846000002,,2.8062
4,6.264544209866666,616.4456052,22.4153,15.1261,629.6956052,15.1261,630.1956052,15.1261,15.148678105555556,,2.6693
5,5.983806421697437,821.8048567,21.6624,14.5101,835.0548567,14.5443,835.5548567,14.5272,14.506851178,,2.5666
0,5.8417617923367295,1027.28997,20.6016,14.0652,1040.53997,13.8941,1041.03997,13.97965,14.010100323999998,,2.3955
,,,,,,,,,,
for macro #:,2.0
1,5.588459353622447,1510.704847,19.5065,13.0728,1523.954847,13.0043,1524.454847,13.03855,13.010438235999999,,2.2586
2,5.300482597723076,1716.050448,18.3771,12.491,1729.250448,12.2857,1729.750448,12.388349999999999,12.464421889090909,,2.156
3,5.155894209168367,1921.335248,17.8296,12.2514,1934.585248,12.1145,1935.085248,12.18295,12.087604201000001,,2.156
4,5.038808160737111,2126.705371,17.1452,11.7723,2139.905371,11.6697,2140.405371,11.721,11.747069263636364,,2.156
5,4.996729675360826,2332.120765,17.3163,11.5328,2345.320765,11.4986,2345.820765,11.515699999999999,11.485964093333333,,2.0875
0,4.889099641520618,2537.387874,16.4607,11.3617,2550.587874,11.259,2551.087874,11.31035,11.255307671999999,,2.0533
,,,,,,,,,,
for macro #:,3.0
1,4.825888313933334,2768.315097,16.3238,11.1563,2781.565097,10.9852,2782.065097,11.07075,11.110828624545455,,1.9849
2,4.759025880117346,2973.718099,16.0501,11.0194,2986.968099,10.951,2987.468099,10.985199999999999,11.005310206,,2.0191
3,4.831471431265306,3179.199401,16.1527,10.951,3192.449401,10.9168,3192.949401,10.933900000000001,10.953152224444445,,2.0191
4,4.681353604600001,3384.572475,15.8105,10.8826,3397.822475,10.8141,3398.322475,10.84835,10.768336068181817,,1.9849
5,4.694876904829897,3589.836744,15.7078,10.6088,3603.036744,10.6088,3603.536744,10.6088,10.650152522727272,,1.9849
0,4.618839773134019,3795.227977,16.1185,10.643,3808.427977,10.5403,3808.927977,10.591650000000001,10.602590986666666,,1.9506
,,,,,,,,,,
for macro #:,4.0
1,4.659158816247425,4236.955243,15.5025,10.5061,4250.155243,10.6088,4250.655243,10.55745,10.47660112888889,,1.9506
2,4.522533086717948,4442.135024,15.571,10.4034,4455.385024,10.2666,4455.885024,10.335,10.365202257272728,,1.9164
3,4.559570243525773,4647.79359,15.1603,10.4034,4660.99359,10.2666,4661.49359,10.335,10.309415096999999,,1.9164
4,4.485841035112245,4853.130869,15.0576,10.3692,4866.380869,10.1981,4866.880869,10.28365,10.211198475,,1.9506
5,4.446669950928205,5058.677983,14.9892,10.1297,5071.927983,10.0612,5072.427983,10.09545,10.149277346,,1.9164
0,4.427381583958763,5264.216109,14.9207,10.1639,5277.416109,10.0612,5277.916109,10.112549999999999,10.052937076363635,,1.8822
,,,,,,,,,,
for macro #:,5.0
1,4.396036104097937,5561.698353,14.9207,10.027,5574.898353,9.9928,5575.398353,10.0099,9.931654794272728,,1.848
2,4.316001111285712,5766.972112,14.5101,9.8217,5780.222112,9.7875,5780.722112,9.8046,9.7610986313,,1.848
3,4.311171135128206,5972.271227,14.4074,9.719,5985.521227,9.6163,5986.021227,9.66765,9.6552160502,,1.8138
4,4.238594797653065,6177.662377,14.2705,9.6506,6190.912377,9.5821,6191.412377,9.61635,9.594999941,,1.848
5,4.27841471554359,6383.18237,14.2363,9.5479,6396.43237,9.5137,6396.93237,9.5308,9.545146582636363,,1.8138
0,4.243454760768041,6588.603347,14.0994,9.4795,6601.803347,9.411,6602.303347,9.44525,9.484997082999998,,1.848
,,,,,,,,,,
for macro #:,6.0
1,4.2493814960721625,6901.951005,14.1336,9.5479,6915.151005,9.411,6915.651005,9.47945,9.424306268727271,,1.8138
2,4.19546401668205,7107.236736,14.0994,9.5479,7120.436736,9.3426,7120.936736,9.44525,9.438486558818182,,1.7453
3,4.247610120394867,7312.737842,13.9967,9.4452,7325.987842,9.3768,7326.487842,9.411,9.379408426900001,,1.7795
4,4.196751390309278,7518.167694,14.4416,9.3768,7531.367694,9.3084,7531.867694,9.342600000000001,9.345197734272727,,1.7453
5,4.179794944030768,7723.468245,13.8941,9.3084,7736.668245,9.2399,7737.168245,9.27415,9.318741072818183,,1.7453
0,4.11270942784536,7928.842753,13.8599,9.2741,7942.042753,9.2741,7942.542753,9.2741,9.255554978,,1.7453
,,,,,,,,,,
for macro #:,7.0
1,4.095163976687174,8196.023725,13.723,9.2399,8209.273725,9.1715,8209.773725,9.2057,9.2064098136,,1.7453
2,4.099460494015385,8401.314389,13.6203,9.103,8414.564389,9.103,8415.064389,9.103,9.141976802899999,,1.7111
3,4.078840281433673,8606.627525,13.5519,9.2399,8619.877525,9.1715,8620.377525,9.2057,9.109479698100001,,1.7111
4,4.056330002441025,8811.97087,13.5519,9.0688,8825.22087,9.0004,8825.72087,9.034600000000001,9.086359400200001,,1.7111
5,4.070474357753849,9017.394166,13.5861,9.103,9030.644166,9.0346,9031.144166,9.0688,9.068515387666668,,1.7111
0,4.037208831768042,9223.125927,13.5519,9.1372,9236.325927,9.0688,9236.825927,9.103,9.060390656727273,,1.7111
